trial_number,lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,total_time
0,1.2358010754486485e-05,9,5,160000,0.9492063492063492,3860.8695957660675
1,0.000131365565907626,1,0,48000,0.14285714285714285,217.5428705215454
2,0.0004076675739931088,6,3,80000,0.14285714285714285,1381.4900176525116
3,4.450209767149518e-06,4,2,48000,0.723157596371882,663.3762261867523
4,1.2692055682895207e-06,7,0,64000,0.7706349206349206,1728.4373421669006
5,0.0004361002812039365,5,4,112000,0.14285714285714285,1251.4511406421661
6,4.287158665344996e-05,10,2,32000,0.41822562358276644,1398.0150253772736
7,1.4332693750513623e-05,2,4,112000,0.24022108843537415,442.18972182273865
8,8.372782025796683e-05,1,4,160000,0.4193877551020408,310.6512351036072
9,0.0002998227711778014,3,3,48000,0.5035147392290249,346.1209182739258
10,0.0002746832279022365,4,2,112000,0.14285714285714285,1143.594985485077
11,0.00019435063294890285,1,0,64000,0.14285714285714285,242.87382340431213
12,0.001,6,0,112000,0.14285714285714285,2157.9501061439514
13,1.3827608255373683e-05,1,0,64000,0.7797902494331065,247.59662795066833
14,0.0005932270795956993,6,2,160000,0.14285714285714285,2724.6642215251923
15,0.0003397813292683491,5,0,80000,0.14285714285714285,1329.6189398765564
16,0.0006559427542242146,5,2,112000,0.14285714285714285,1469.473286151886
17,0.00038675372770353766,7,0,112000,0.14285714285714285,2347.574138402939
18,0.00010369990818955429,3,0,80000,0.14285714285714285,759.9595475196838
19,0.0009414777288502564,8,4,112000,0.14285714285714285,2256.3565921783447
20,6.345010040917091e-06,1,5,160000,0.22151360544217688,313.6986119747162
21,0.0003595874721721681,7,3,112000,0.14285714285714285,2058.9827699661255
22,0.00011295969693471164,1,5,64000,0.3607709750566893,157.99821972846985
23,0.0005179790122165333,6,2,112000,0.14285714285714285,1841.1653654575348
24,0.0004320153905873726,4,0,160000,0.14285714285714285,2015.5503332614899
25,6.799684693233303e-05,1,0,32000,0.14285714285714285,159.00147485733032
26,0.001,4,0,160000,0.14285714285714285,2022.914052248001
27,0.00020101414518905933,1,0,80000,0.14285714285714285,253.32190203666687
28,0.0004966913924192806,8,5,80000,0.14285714285714285,1595.8283615112305
29,0.001,10,2,80000,0.14285714285714285,2530.7941896915436
30,0.00017575145248505564,9,1,80000,0.14285714285714285,2315.048194169998
31,0.001,10,0,160000,0.14285714285714285,5000.425554275513
32,2.3557039248042934e-06,1,0,160000,0.5953514739229026,484.59804010391235
33,0.00013492143479782272,5,0,64000,0.14285714285714285,1189.695616722107
34,3.647942078931462e-06,1,5,112000,0.10615079365079365,217.86731958389282
35,7.031500820663072e-06,1,5,80000,0.12188208616780045,155.93820214271545
36,1e-06,1,5,80000,0.08730158730158731,155.91283011436462
37,2.2666535028162043e-06,1,5,80000,0.10833333333333332,156.0899360179901
38,1e-06,1,5,112000,0.17715419501133786,218.2983455657959
39,1e-06,1,5,64000,0.16666666666666669,155.29760813713074
40,1e-06,10,5,80000,0.6744897959183673,2047.070354938507
41,1e-06,1,4,80000,0.20317460317460315,157.23631596565247
42,0.00025206797482542624,1,0,32000,0.14285714285714285,148.27479338645935
43,0.001,10,0,48000,0.14285714285714285,1928.3474600315094
44,0.00047959483050848123,10,0,64000,0.14285714285714285,2308.765930891037
45,3.0405097962566475e-06,1,5,80000,0.18214285714285713,156.18553638458252
46,0.00037884483593084097,10,4,112000,0.14285714285714285,3031.6436870098114
47,0.00024189578868627056,10,1,160000,0.14285714285714285,4944.594387769699
48,0.001,6,5,160000,0.14285714285714285,2032.9346542358398
49,3.605510294197163e-06,1,5,48000,0.1846655328798186,112.89117503166199
